Provincia;Acceso;Fecha
CABA y provincia de Bs.As.;19.083.297;01/12/2016
Catamarca;270.757;01/12/2016
Chaco;704.496;01/12/2016
Chubut;615.952;01/12/2016
Córdoba;3.246.615;01/12/2016
Corrientes;727.889;01/12/2016
Entre Ríos;994.765;01/12/2016
Formosa;347.837;01/12/2016
Jujuy;479.872;01/12/2016
La Pampa;284.603;01/12/2016
La Rioja;290.358;01/12/2016
Mendoza;1.400.855;01/12/2016
Misiones;733.565;01/12/2016
Neuquén;691.142;01/12/2016
Río Negro;555.067;01/12/2016
Salta;869.713;01/12/2016
San Juan;511.480;01/12/2016
San Luis;324.148;01/12/2016
Santa Cruz;184.858;01/12/2016
Santa Fe;2.808.519;01/12/2016
Santiago del Estero;514.299;01/12/2016
Tierra del Fuego;172.189;01/12/2016
Tucumán;1.158.719;01/12/2016
CABA y provincia de Bs.As.;19.083.926;01/01/2017
Catamarca;271.259;01/01/2017
Chaco;710.981;01/01/2017
Chubut;614.984;01/01/2017
Córdoba;3.241.326;01/01/2017
Corrientes;732.969;01/01/2017
Entre Ríos;998.959;01/01/2017
Formosa;348.455;01/01/2017
Jujuy;481.554;01/01/2017
La Pampa;284.071;01/01/2017
La Rioja;291.569;01/01/2017
Mendoza;1.400.734;01/01/2017
Misiones;737.915;01/01/2017
Neuquén;692.987;01/01/2017
Río Negro;560.619;01/01/2017
Salta;872.018;01/01/2017
San Juan;515.473;01/01/2017
San Luis;323.762;01/01/2017
Santa Cruz;184.156;01/01/2017
Santa Fe;2.815.406;01/01/2017
Santiago del Estero;516.795;01/01/2017
Tierra del Fuego;169.320;01/01/2017
Tucumán;1.160.049;01/01/2017
CABA y provincia de Bs.As.;19.014.372;01/02/2017
Catamarca;266.050;01/02/2017
Chaco;701.466;01/02/2017
Chubut;611.944;01/02/2017
Córdoba;3.209.987;01/02/2017
Corrientes;727.357;01/02/2017
Entre Ríos;985.462;01/02/2017
Formosa;341.668;01/02/2017
Jujuy;473.633;01/02/2017
La Pampa;282.779;01/02/2017
La Rioja;285.959;01/02/2017
Mendoza;1.391.031;01/02/2017
Misiones;724.728;01/02/2017
Neuquén;691.570;01/02/2017
Río Negro;559.432;01/02/2017
Salta;854.603;01/02/2017
San Juan;511.289;01/02/2017
San Luis;320.550;01/02/2017
Santa Cruz;183.414;01/02/2017
Santa Fe;2.789.640;01/02/2017
Santiago del Estero;505.503;01/02/2017
Tierra del Fuego;167.817;01/02/2017
Tucumán;1.138.531;01/02/2017
CABA y provincia de Bs.As.;19.120.299;01/03/2017
Catamarca;269.924;01/03/2017
Chaco;711.177;01/03/2017
Chubut;616.500;01/03/2017
Córdoba;3.242.457;01/03/2017
Corrientes;738.043;01/03/2017
Entre Ríos;995.416;01/03/2017
Formosa;345.732;01/03/2017
Jujuy;480.714;01/03/2017
La Pampa;284.912;01/03/2017
La Rioja;289.365;01/03/2017
Mendoza;1.406.793;01/03/2017
Misiones;735.728;01/03/2017
Neuquén;697.501;01/03/2017
Río Negro;564.724;01/03/2017
Salta;869.909;01/03/2017
San Juan;517.172;01/03/2017
San Luis;322.997;01/03/2017
Santa Cruz;183.564;01/03/2017
Santa Fe;2.808.773;01/03/2017
Santiago del Estero;511.064;01/03/2017
Tierra del Fuego;166.826;01/03/2017
Tucumán;1.152.215;01/03/2017
CABA y provincia de Bs.As.;19.208.981;01/04/2017
Catamarca;270.853;01/04/2017
Chaco;717.414;01/04/2017
Chubut;615.247;01/04/2017
Córdoba;3.255.079;01/04/2017
Corrientes;738.782;01/04/2017
Entre Ríos;1.001.448;01/04/2017
Formosa;347.174;01/04/2017
Jujuy;480.597;01/04/2017
La Pampa;285.200;01/04/2017
La Rioja;290.825;01/04/2017
Mendoza;1.403.990;01/04/2017
Misiones;745.852;01/04/2017
Neuquén;694.839;01/04/2017
Río Negro;556.140;01/04/2017
Salta;872.796;01/04/2017
San Juan;510.642;01/04/2017
San Luis;321.462;01/04/2017
Santa Cruz;183.232;01/04/2017
Santa Fe;2.825.558;01/04/2017
Santiago del Estero;514.855;01/04/2017
Tierra del Fuego;168.774;01/04/2017
Tucumán;1.154.576;01/04/2017
CABA y provincia de Bs.As.;19.201.817;01/05/2017
Catamarca;272.250;01/05/2017
Chaco;730.099;01/05/2017
Chubut;618.447;01/05/2017
Córdoba;3.258.878;01/05/2017
Corrientes;745.784;01/05/2017
Entre Ríos;1.008.944;01/05/2017
Formosa;352.290;01/05/2017
Jujuy;483.134;01/05/2017
La Pampa;283.970;01/05/2017
La Rioja;293.816;01/05/2017
Mendoza;1.397.910;01/05/2017
Misiones;756.442;01/05/2017
Neuquén;704.797;01/05/2017
