Provincia;Acceso;Fecha
Suma Provincias;17.887.698;01/12/2016
BsAs Provincia y CABA;19.083.297;01/12/2016
Suma Provincias;17.925.361;01/01/2017
BsAs Provincia y CABA;19.083.926;01/01/2017
Suma Provincias;17.724.413;01/02/2017
BsAs Provincia y CABA;19.014.372;01/02/2017
Suma Provincias;17.911.506;01/03/2017
BsAs Provincia y CABA;19.120.299;01/03/2017
Suma Provincias;17.955.335;01/04/2017
BsAs Provincia y CABA;19.208.981;01/04/2017
Suma Provincias;18.068.308;01/05/2017
BsAs Provincia y CABA;19.201.817;01/05/2017
Suma Provincias;18.153.968;01/06/2017
BsAs Provincia y CABA;19.248.981;01/06/2017
Suma Provincias;18.387.631;01/07/2017
BsAs Provincia y CABA;19.433.980;01/07/2017
Suma Provincias;18.554.733;01/08/2017
BsAs Provincia y CABA;19.576.824;01/08/2017
Suma Provincias;18.672.465;01/09/2017
BsAs Provincia y CABA;19.614.543;01/09/2017
Suma Provincias;18.831.879;01/10/2017
BsAs Provincia y CABA;19.718.945;01/10/2017
Suma Provincias;18.846.399;01/11/2017
BsAs Provincia y CABA;19.808.344;01/11/2017
Suma Provincias;19.065.829;01/12/2017
BsAs Provincia y CABA;19.900.292;01/12/2017
Suma Provincias;19.030.619;01/01/2018
BsAs Provincia y CABA;19.833.762;01/01/2018
Suma Provincias;18.715.074;01/02/2018
BsAs Provincia y CABA;19.813.155;01/02/2018
Suma Provincias;18.930.769;01/03/2018
BsAs Provincia y CABA;19.867.812;01/03/2018
Suma Provincias;18.941.952;01/04/2018
BsAs Provincia y CABA;19.940.284;01/04/2018
Suma Provincias;18.952.356;01/05/2018
BsAs Provincia y CABA;20.014.989;01/05/2018
Suma Provincias;18.828.181;01/06/2018
BsAs Provincia y CABA;19.820.773;01/06/2018
Suma Provincias;18.919.987;01/07/2018
BsAs Provincia y CABA;19.851.152;01/07/2018
Suma Provincias;18.962.984;01/08/2018
BsAs Provincia y CABA;19.876.323;01/08/2018
Suma Provincias;18.920.897;01/09/2018
BsAs Provincia y CABA;19.868.565;01/09/2018
Suma Provincias;18.912.350;01/10/2018
BsAs Provincia y CABA;19.898.413;01/10/2018
Suma Provincias;18.680.411;01/11/2018
BsAs Provincia y CABA;19.754.333;01/11/2018
Suma Provincias;18.888.785;01/12/2018
BsAs Provincia y CABA;19.883.462;01/12/2018
Suma Provincias;18.646.344;01/01/2019
BsAs Provincia y CABA;19.846.661;01/01/2019
Suma Provincias;18.501.611;01/02/2019
BsAs Provincia y CABA;19.822.228;01/02/2019
Suma Provincias;18.625.319;01/03/2019
BsAs Provincia y CABA;19.990.435;01/03/2019
Suma Provincias;18.687.978;01/04/2019
BsAs Provincia y CABA;20.236.571;01/04/2019
Suma Provincias;18.719.220;01/05/2019
BsAs Provincia y CABA;20.305.228;01/05/2019
Suma Provincias;18.809.682;01/06/2019
BsAs Provincia y CABA;20.355.918;01/06/2019
Suma Provincias;18.926.943;01/07/2019
BsAs Provincia y CABA;20.552.009;01/07/2019
Suma Provincias;18.877.239;01/08/2019
BsAs Provincia y CABA;20.475.758;01/08/2019
Suma Provincias;18.937.598;01/09/2019
BsAs Provincia y CABA;20.500.672;01/09/2019
Suma Provincias;18.846.152;01/10/2019
