Provincia;Ingreso;Diciembre 2022 acceso a internet fija;Acceso a internet Movil;Viviendas Particulares;Poblacion
Buenos Aires;144898;22.814.765;17.521.102;8334037;20689665
Catamarca;108430;339.251;320.379;158989;429556
Chaco;101754;983.079;882.233;401658;1142963
Chubut;197964;648.989;585.474;236010;603120
Cordoba;140825;3.832.372;3.210.473;1630356;3978984
Corrientes;127307;974.417;854.452;406480;1197553
Entre Rios;135103;1.261.014;1.068.473;559398;1426426
Formosa;107820;469.853;435.091;212941;606041
Jujuy;124073;630.932;594.831;276222;797955
La Pampa;152723;332.181;272.173;163805;366022
La Rioja;108430;400.477;297.277;149910;384607
Mendoza;137292;1.639.235;1.544.462;708354;2014533
Misiones;119002;1.061.218;948.536;466850;1280960
Neuquen;177309;833.261;705.148;273685;726590
Rio Negro;146289;575.224;496.880;295502;762067
Salta;131144;1.145.924;1.053.133;478433;1440672
San Juan;160340;622.303;551.558;265047;818234
San Luis;125712;394.369;385.517;201271;540905
Santa Cruz;185961;182.621;167.235;131395;333473
Santa Fe;145799;3.370.934;2.849.755;1458652;3556522
Santiago del Estero;118115;725.963;697.861;348705;1054028
Tierra del Fuego;247340;174.370;160.785;67091;190641
Tucuman;126998;1.435.851;1.296.637;555419;1703186
